Ad ID,Description,Location,Postcode,Price,Rooms,Size (m²),State,District,Location Quality,Floor,Property Type,Published Date,Rent (€),Address,Numeric District,Link
1258577686,Charmante 2-Zimmer-Wohnung in ruhiger Lage des 17. Bezirks,"Wien, 17. Bezirk, Hernals",1170.0,733.26,2,59.0,Wien,Wien,1.0,2,Wohnung,2026-01-09 02:45:00+00:00,733.26,Geblergasse 102,17.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1170-hernals/charmante-2-zimmer-wohnung-in-ruhiger-lage-des-17.-bezirks-1258577686/
1713948716,"PROVISIONSFREI für den Mieter! Vogelsanggasse, zentrumsnahe 44m²Altbauhauptmiete, 2. Stock, (kein Lift), Studenten bevorzugt!","Wien, 05. Bezirk, Margareten",1050.0,570.0,2,44.0,Wien,Wien,1.0,2,Wohnung,2026-01-08 20:42:00+00:00,570.0,Vogelsanggasse 32,5.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/provisionsfrei-für-den-mieter!-vogelsanggasse-zentrumsnahe-44m²altbauhauptmiete-2.-stock-(kein-lift)-studenten-bevorzugt!-1713948716/
776910415,"DIREKTVERGABE, helle Gemeindewohnung im Grünen nähe Erholungsgebiet Wienerberg, 1100 Wien","Wien, 10. Bezirk, Favoriten",1100.0,750.0,2,65.0,Wien,Wien,1.0,4,Wohnung,2026-01-08 20:16:00+00:00,750.0,Gußriegelstrasse 42-50,10.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/direktvergabe-helle-gemeindewohnung-im-grünen-nähe-erholungsgebiet-wienerberg-1100-wien-776910415/
1009629127,Charmante 2-Zimmer Wohnung,"Wien, 04. Bezirk, Wieden",1040.0,617.4,2,52.0,Wien,Wien,0.79,3,Wohnung,2026-01-08 16:29:00+00:00,617.4,Große Neugasse,4.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1040-wieden/charmante-2-zimmer-wohnung-1009629127/
1724273287,Schöne 2-Zimmer Altbauwohnung mit Einbauküche,"Wien, 04. Bezirk, Wieden",1040.0,693.56,2,50.0,Wien,Wien,0.79,3,Wohnung,2026-01-08 16:27:00+00:00,693.56,Große Neugasse,4.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1040-wieden/schöne-2-zimmer-altbauwohnung-mit-einbauküche-1724273287/
1494968646,Gemeindewohnung zur Weitervergabe VM 30.11.2025,"Wien, 10. Bezirk, Favoriten",1100.0,522.0,2,60.0,Wien,Wien,1.0,,Wohnung,2026-01-08 15:19:00+00:00,522.0,Fernkorngasse 98,10.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/gemeindewohnung-zur-weitervergabe-vm-30.11.2025-1494968646/
1532299597,(reserviert) Gemeindewohnung zu vergeben,"Wien, 17. Bezirk, Hernals",1170.0,607.0,2,54.0,Wien,Wien,1.0,3,Wohnung,2026-01-08 14:47:00+00:00,607.0,Pezzlgasse 75-77,17.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1170-hernals/(reserviert)-gemeindewohnung-zu-vergeben-1532299597/
1738923000,NachmieterIn für meine Altbauwohnung in 1080 Wien gesucht,"Wien, 08. Bezirk, Josefstadt",1080.0,696.2,2,44.0,Wien,Wien,0.79,3,Wohnung,2026-01-08 14:25:00+00:00,696.2,Feldgasse,8.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1080-josefstadt/nachmieterin-für-meine-altbauwohnung-in-1080-wien-gesucht-1738923000/
1303212139,Moderne Garconnieren sowie 2 Zimmer Apartments in zentraler Lage in Altmannsdorf,"Wien, 12. Bezirk, Meidling",1120.0,731.5,2,,Wien,Wien,1.0,,Wohnung,2026-01-08 13:48:00+00:00,731.5,Altmannsdorfer Straße 91,12.0,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/moderne-garconnieren-sowie-2-zimmer-apartments-in-zentraler-lage-in-altmannsdorf-1303212139/
1727411451,"2-Zimmer-Wohnung mit Loggia - zu mieten im Neubauprojekt ""Herz & Heim"" in Simmering, 1110 Wien","Wien, 11. Bezirk, Simmering",1110.0,799.0,2,39.0,Wien,Wien,,1,Wohnung,2026-01-09 09:22:00+00:00,799.0,,11.0,"https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/2-zimmer-wohnung-mit-loggia---zu-mieten-im-neubauprojekt-""herz-&-heim""-in-simmering-1110-wien-1727411451/"
